Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Graphics Card,INNO3D GeForce RTX 5060 Ti 8GB TWIN X2 OC Graphics Card,INNO3D,"৳ 66,900","৳ 69,000","৳ 2,100",In Stock
Graphics Card,ASUS Dual Radeon RX 9060 XT 16GB GDDR6 Graphics Card (White),ASUS,"৳ 71,900","৳ 72,500",৳ 600,In Stock
Graphics Card,ASUS Dual Radeon RX 9060 XT 16GB GDDR6 Graphics Card,ASUS,"৳ 59,500","৳ 71,900","৳ 12,400",In Stock
Graphics Card,ASUS Prime Radeon RX 9060 XT OC Edition 16GB GDDR6 Graphics Card,ASUS,"৳ 77,500","৳ 78,000",৳ 500,In Stock
Graphics Card,ASUS Dual Radeon RX 6500 XT V2 OC Edition 4GB GDDR6 Graphics Card,ASUS,"৳ 25,500","৳ 26,000",৳ 500,In Stock
Graphics Card,ARKTEK AMD Radeon RX 550 4GB GDDR5 Graphics Card,ARKTEK,"৳ 12,500","৳ 13,500","৳ 1,000",In Stock
Graphics Card,ARKTEK AMD Radeon RX 5600 6GB GDDR6 Graphics Card,ARKTEK,"৳ 22,000","৳ 25,000","৳ 3,000",In Stock
Graphics Card,ARKTEK AMD Radeon RX 7600 XT 8GB GDDR6 Graphics Card,ARKTEK,"৳ 43,000","৳ 47,300","৳ 4,300",In Stock
Graphics Card,ARKTEK AMD Radeon RX 550 8GB GDDR5 Graphics Card,ARKTEK,"৳ 16,500","৳ 19,500","৳ 3,000",In Stock
Graphics Card,ARKTEK GeForce GTX1660Ti 6GB V2 6GB GDDR6 Graphics Card,ARKTEK,"৳ 26,000","৳ 28,000","৳ 2,000",In Stock
Graphics Card,Manli Nebula V2 GeForce RTX 5060 Ti 16GB GDDR7 Graphics Card,Manli,"৳ 79,999","৳ 89,000","৳ 9,001",In Stock
Graphics Card,Yeston Nvidia GeForce RTX 5060 Game ACE 8GB GDDR7 Gaming Graphics Card,Yeston,"৳ 51,800","৳ 52,500",৳ 700,In Stock
Graphics Card,Yeston Nvidia GeForce RTX 5060 GAEA 8GB GDDR7 Gaming Graphics Card,Yeston,"৳ 49,800","৳ 50,500",৳ 700,In Stock
Graphics Card,ARKTEK NVIDIA Geforce GTX1660 Super 6GB GDDR6 Graphics Card,ARKTEK,"৳ 26,000","৳ 28,000","৳ 2,000",In Stock
Graphics Card,ARKTEK NVIDIA Geforce RTX3050 8GB GDDR6 Graphics Card,ARKTEK,"৳ 36,000","৳ 39,000","৳ 3,000",In Stock
Graphics Card,ARKTEK NVIDIA Geforce RTX2070 SUPER 8GB GDDR6 Graphics Card,ARKTEK,"৳ 40,000","৳ 42,000","৳ 2,000",In Stock
Graphics Card,Colorful iGame GeForce RTX 5060 Ultra W DUO OC 8GB-V GDDR7 Graphics Card,Colorful,"৳ 55,900","৳ 61,000","৳ 5,100",In Stock
Graphics Card,Colorful iGame GeForce RTX 5060 Ti Ultra W OC 16GB-V GDDR7 Graphics Card,Colorful,"৳ 88,500","৳ 97,000","৳ 8,500",In Stock
Graphics Card,Colorful GeForce RTX 5060 Ti Gaming 8GB-V GDDR7 Graphics Card,Colorful,"৳ 63,500","৳ 69,500","৳ 6,000",In Stock
Graphics Card,Colorful GeForce RTX 5050 NB Battle AX DUO 8GB-V GDDR6 Graphics Card,Colorful,"৳ 41,000","৳ 43,500","৳ 2,500",In Stock
Graphics Card,Colorful GeForce RTX 5060 Gaming 8GB-V GDDR7 Graphics Card,Colorful,"৳ 53,900","৳ 59,000","৳ 5,100",In Stock
