Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Motherboard,Gigabyte B850M AORUS ELITE WIFI6E DDR5 AMD Micro ATX Gaming Motherboard,Gigabyte,"৳ 33,500","৳ 35,500","৳ 2,000",In Stock
Motherboard,Gigabyte A520M K V2 DDR4 AM4 Socket AMD Motherboard,Gigabyte,"৳ 7,800","৳ 8,500",৳ 700,In Stock
Motherboard,ASRock B850M Pro RS WiFi AM5 DDR5 mATX Motherboard,ASRock,"৳ 25,400","৳ 27,500","৳ 2,100",In Stock
Motherboard,ASUS H810M AYW GAMING WIFI LGA1851 DDR5 mATX Motherboard,ASUS,"৳ 17,500","৳ 18,500","৳ 1,000",In Stock
Motherboard,ASUS PRIME B860M-A WIFI-CSM LGA1851 DDR5 mATX Motherboard,ASUS,"৳ 26,000","৳ 28,900","৳ 2,900",In Stock
Motherboard,ASUS ROG STRIX B860-I GAMING WIFI LGA1851 DDR5 Mini-ITX Gaming Motherboard,ASUS,"৳ 37,000","৳ 39,000","৳ 2,000",In Stock
Motherboard,Gigabyte B760 GAMING X WIFI6E GEN5 LGA1700 DDR5 ATX Motherboard,Gigabyte,"৳ 26,500","৳ 27,000",৳ 500,In Stock
Motherboard,Gigabyte B760M GAMING X GEN5 DDR5 Intel Micro ATX Motherboard,Gigabyte,"৳ 20,500","৳ 21,500","৳ 1,000",In Stock
Motherboard,Asus PRIME B550M-K ARGB AMD DDR4 AM4 micro-ATX Motherboard,Asus,"৳ 12,000","৳ 13,500","৳ 1,500",In Stock
Motherboard,Asus TUF GAMING B850M-PLUS WIFI7 W AMD DDR5 AM5 micro-ATX Motherboard,Asus,"৳ 36,000","৳ 37,900","৳ 1,900",In Stock
Motherboard,ASUS B760M MAX GAMING WIFI Intel LGA1700 DDR5 mATX Motherboard,ASUS,"৳ 21,000","৳ 23,500","৳ 2,500",In Stock
Motherboard,ASUS ROG STRIX X870E-H GAMING WIFI7 AM5 DDR5 ATX Gaming Motherboard,ASUS,"৳ 71,000","৳ 75,500","৳ 4,500",In Stock
Motherboard,ASUS ROG CROSSHAIR X870E HERO BTF AM5 DDR5 ATX Gaming Motherboard,ASUS,"৳ 111,500","৳ 115,500","৳ 4,000",In Stock
Motherboard,Gigabyte B550M DS3H R2 AMD DDR4 Micro ATX Motherboard,Gigabyte,"৳ 12,800","৳ 13,900","৳ 1,100",In Stock
Motherboard,MAXSUN MS-Challenger B850M PLUS WIFI 2x DIMM DDR5 Motherboard,MAXSUN,"৳ 16,000","৳ 17,000","৳ 1,000",In Stock
Motherboard,Colorful BATTLE-AX B550M-D PRO V14 DDR4 AMD AM4 M-ATX Motherboard,Colorful,"৳ 9,999","৳ 11,500","৳ 1,501",In Stock
Motherboard,ASRock PHANTOM GAMING X870 Riptide WiFi AM5 DDR5 ATX Motherboard,ASRock,Checkout Discount 1000 TK,"৳ 43,000",৳ 500,"৳ 43,500"
Motherboard,ASROCK H610M-H2/M.2 D5 Intel mATX DDR5 Motherboard,ASROCK,"৳ 9,100","৳ 9,500",৳ 400,In Stock
Motherboard,ASUS PRO B760M-C-CSM Intel Micro-ATX Motherboard,ASUS,"৳ 16,700","৳ 17,900","৳ 1,200",In Stock
Motherboard,ASUS ROG CROSSHAIR X870E EXTREME AM5 E-ATX Gaming Motherboard,ASUS,"৳ 158,500","৳ 164,000","৳ 5,500",In Stock
Motherboard,ASUS Pro WS WRX90E-SAGE SE EEB Workstation Motherboard,ASUS,"৳ 199,000","৳ 201,000","৳ 2,000",In Stock
Motherboard,Colorful BATTLE-AX B450M-T M.2 V14 AMD mATX Motherboard,Colorful,"৳ 7,100","৳ 8,600","৳ 1,500",In Stock
Motherboard,Colorful BATTLE-AX B850M-E WIFI V14 DDR5 AM5 M-ATX Motherboard,Colorful,"৳ 17,000","৳ 20,500","৳ 3,500",In Stock
Motherboard,MSI PRO B850M-G AMD AM5 DDR5 mATX Motherboard,MSI,"৳ 18,100","৳ 19,500","৳ 1,400",In Stock
Motherboard,Afox IH510D4-MA6-V2 DDR4 Intel Motherboard,Afox,"৳ 8,300","৳ 8,500",৳ 200,In Stock
Motherboard,Afox B650D5-MA-V2 Micro-ATX DDR5 AMD Motherboard,Afox,"৳ 12,900","৳ 13,500",৳ 600,In Stock
Motherboard,Maxsun Challenger H510M-H V3 DDR4 H470 Chipset LGA1200 Socket Motherboard,Maxsun,"৳ 8,500","৳ 9,000",৳ 500,In Stock
Motherboard,Maxsun Challenger B850M-K M-ATX DDR5 AMD AM5 Motherboard,Maxsun,"৳ 13,000","৳ 16,000","৳ 3,000",In Stock
Motherboard,Gigabyte B860M D2H DDR5 LGA1851 Socket Motherboard,Gigabyte,"৳ 17,000","৳ 18,000","৳ 1,000",In Stock
Motherboard,GIGABYTE B840M DS3H WIFI6 AMD AM5 DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 20,000","৳ 21,000","৳ 1,000",In Stock
Motherboard,GIGABYTE B840M DS3H AMD AM5 DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 18,500","৳ 19,500","৳ 1,000",In Stock
Motherboard,GIGABYTE B840M EAGLE WIFI6 DDR5 AMD AM5 Micro ATX Motherboard,GIGABYTE,"৳ 17,500","৳ 19,500","৳ 2,000",In Stock
Motherboard,GIGABYTE B760M AORUS ELITE WIFI6E GEN5 Intel 14th Gen DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 24,000","৳ 25,000","৳ 1,000",In Stock
Motherboard,MSI B850M AMD Gaming Plus WIFI AM5 mATX Motherboard,MSI,"৳ 23,500","৳ 27,500","৳ 4,000",In Stock
Motherboard,Asus Pro WS WRX90E-SAGE SE AMD sTR5 EEB Workstation Motherboard,Asus,"৳ 197,500","৳ 210,000","৳ 12,500",In Stock
Motherboard,MSI PRO B840M-B AM5 AMD mATX Motherboard,MSI,"৳ 14,900","৳ 15,700",৳ 800,In Stock
Motherboard,ASUS Pro Q570M-C/CSM Intel LGA1200 Micro ATX Motherboard,ASUS,"৳ 11,600","৳ 13,000","৳ 1,400",In Stock
Motherboard,Maxsun Challenger B760M D5 DDR5 LGA1700 Motherboard,Maxsun,"৳ 13,500","৳ 14,000",৳ 500,In Stock
Motherboard,Maxsun Terminator Z790M D5 ICE WIFI DDR5 LGA1700 Motherboard,Maxsun,"৳ 24,900","৳ 26,500","৳ 1,600",In Stock
Motherboard,Colorful BATTLE-AX B650M-E PRO V14 AMD M-ATX Motherboard,Colorful,"৳ 11,900","৳ 12,500",৳ 600,In Stock
Motherboard,Biostar B550MHP Micro ATX AMD AM4 Motherboard,Biostar,Checkout Discount 100 TK,"৳ 8,500","৳ 1,000","৳ 9,500"
Motherboard,MSI PRO B850M-P WIFI DDR5 AM5 mATX Motherboard,MSI,"৳ 23,200","৳ 25,500","৳ 2,300",In Stock
Motherboard,Biostar A520MHP V 6.0 Socket Am4 DDR4 Motherboard,Biostar,Checkout Discount 100 TK,"৳ 6,500","৳ 1,000","৳ 7,500"
Motherboard,Maxsun Challenger A620A 2.5G DDR5 AMD Motherboard,Maxsun,"৳ 10,800","৳ 12,700","৳ 1,900",In Stock
Motherboard,MAXSUN MS-H610M INTEL 666 WIFI6 M-ATX D5 Motherboard,MAXSUN,"৳ 11,700","৳ 12,800","৳ 1,100",In Stock
