Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Processor,Intel Core i5 10500T 10th Gen Comet Lake Processor,Intel,"৳ 12,500","৳ 12,900",৳ 400,In Stock
Processor,AMD Ryzen 7 9850X3D 8 Core 16 Thread Desktop Processor,AMD,"৳ 65,000","৳ 69,000","৳ 4,000",In Stock
Processor,Intel Core Ultra 5 225 10 Core 10 Threads Arrow Lake Processor,Intel,"৳ 19,999","৳ 24,500","৳ 4,501",In Stock
Processor,AMD Ryzen 9 9900X3D 12 Core 24 Thread AM5 Gaming Processor,AMD,"৳ 66,500","৳ 82,000","৳ 15,500",In Stock
Processor,AMD Ryzen 9 9950X3D 16 Core 32 Thread AM5 Gaming Processor,AMD,"৳ 74,999","৳ 79,000","৳ 4,001",In Stock
Processor,AMD Ryzen 5 7400F 3.7GHz 6 Core AM5 Socket Processor,AMD,"৳ 14,799","৳ 18,500","৳ 3,701",In Stock
Processor,AMD Ryzen 5 8400F Cores 6 Threads 12 Processor,AMD,"৳ 13,600","৳ 15,500","৳ 1,900",In Stock
Processor,Intel Core i3 14100 14th Gen Raptor Lake Processor,Intel,"৳ 15,900","৳ 18,500","৳ 2,600",In Stock
Processor,AMD Ryzen 7 9800X3D 8 Cores 16 Threads Gaming Processor,AMD,"৳ 52,000","৳ 57,500","৳ 5,500",In Stock
Processor,AMD Ryzen 5 7600X3D 6 Cores 12 Threads AM5 Desktop Processor,AMD,"৳ 32,900","৳ 37,000","৳ 4,100",In Stock
Processor,Intel Core Ultra 9-285K Arrow Lake Processor,Intel,"৳ 71,500","৳ 83,500","৳ 12,000",In Stock
Processor,Intel Core Ultra 7-265K Cores 20 Threads 20 Desktop Processor,Intel,"৳ 34,900","৳ 57,300","৳ 22,400",In Stock
Processor,Intel Core Ultra 5-245K 14 Cores 14 Threads Desktop Processor,Intel,"৳ 24,300","৳ 45,000","৳ 20,700",In Stock
Processor,Intel Core Ultra 5-245KF Core 14 Threads 14 Desktop Processor,Intel,"৳ 38,000","৳ 42,300","৳ 4,300",In Stock
Processor,AMD Ryzen 5 9600X 6 Core 12 Thread AM5 Desktop Gaming Processor,AMD,"৳ 22,900","৳ 24,500","৳ 1,600",In Stock
Processor,AMD Ryzen 7 9700X 8 Core 16 Thread AM5 Desktop Gaming Processor,AMD,"৳ 29,800","৳ 33,500","৳ 3,700",In Stock
Processor,AMD Ryzen 9 9900X 12 Core 24 Thread AM5 Desktop Gaming Processor,AMD,"৳ 43,300","৳ 46,000","৳ 2,700",In Stock
Processor,AMD Ryzen 9 9950X 16 Core 32 Thread AM5 Desktop Gaming Processor,AMD,"৳ 54,700","৳ 60,500","৳ 5,800",In Stock
Processor,Intel Core i5 14400F 14th Gen Raptor Lake Processor,Intel,"৳ 19,400","৳ 29,500","৳ 10,100",In Stock
Processor,AMD Ryzen 7 8700G 8 Core 16 Thread AM5 Processor With Radeon Graphics,AMD,"৳ 29,500","৳ 36,500","৳ 7,000",In Stock
Processor,AMD Ryzen 5 5500GT 6 Core 12 Thread AM4 Processor With Radeon Graphics,AMD,"৳ 14,600","৳ 15,500",৳ 900,In Stock
Processor,AMD Ryzen 5 5600GT 6 Core 12 Thread AM4 Processor With Radeon Graphics,AMD,"৳ 15,500","৳ 17,500","৳ 2,000",In Stock
Processor,AMD Ryzen 5 8500G 6 Core 12 Thread AM5 Processor With Radeon Graphics,AMD,"৳ 18,500","৳ 23,000","৳ 4,500",In Stock
Processor,AMD Ryzen 5 8600G 6 Core 12 Thread AM5 Processor With Radeon Graphics,AMD,"৳ 22,500","৳ 29,000","৳ 6,500",In Stock
Processor,Intel Core i7 14700 14th Gen Raptor Lake Processor,Intel,"৳ 49,500","৳ 50,000",৳ 500,In Stock
Processor,Intel Core i5 14500 14th Gen Raptor Lake Processor,Intel,"৳ 28,300","৳ 31,800","৳ 3,500",In Stock
