Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
RAM,Twinmos TornadoX7 16GB DDR4 3200MHz CL22 U-DIMM Desktop RAM with Heatsink,Twinmos,"৳ 13,200","৳ 13,500",৳ 300,In Stock
RAM,Colorful Battle-AX 8GB DDR4 3200MHz Desktop RAM - Black,Colorful,"৳ 7,000","৳ 9,000","৳ 2,000",In Stock
RAM,TEAM T-Create Expert DDR5 16GB 6000MHz PC5 48000 CL38 Desktop RAM (Black),TEAM,"৳ 34,900","৳ 35,500",৳ 600,In Stock
RAM,TEAM T-Create Expert DDR5 16GB 6000MHz PC5 48000 CL38 Desktop RAM (White),TEAM,"৳ 35,000","৳ 35,500",৳ 500,In Stock
RAM,TEAM T-Force Vulcan DDR5 16GB 6000MHz CL38 Desktop Ram (Black),TEAM,"৳ 34,500","৳ 35,000",৳ 500,In Stock
RAM,Corsair VENGEANCE RGB 32GB DDR5 6000MHz CL40 Desktop RAM,Corsair,"৳ 61,000","৳ 63,000","৳ 2,000",In Stock
RAM,Lexar THOR RGB 2nd Gen 32GB DDR5 6000Mhz CL40 Desktop RAM,Lexar,"৳ 46,000","৳ 60,500","৳ 14,500",In Stock
RAM,Lexar THOR RGB 2nd Gen 32GB DDR5 6400MT/s CL42 Desktop RAM (White),Lexar,"৳ 46,000","৳ 60,000","৳ 14,000",In Stock
RAM,ADATA Lancer Blade 16GB DDR5 6000 MHz RGB Desktop Gaming RAM,ADATA,"৳ 34,000","৳ 38,000","৳ 4,000",In Stock
RAM,Adata DDR5 8GB 4800MHz CL40 Desktop Ram,Adata,"৳ 13,000","৳ 14,500","৳ 1,500",In Stock
RAM,Netac Shadow II 8GB DDR4 3200MHz CL16 Desktop RAM,Netac,"৳ 7,000","৳ 9,200","৳ 2,200",In Stock
RAM,Lexar THOR OC 16GB DDR5 6000MT/s CL36 Desktop RAM (White),Lexar,"৳ 25,500","৳ 30,500","৳ 5,000",In Stock
RAM,Lexar THOR OC 16GB DDR5 6000MT/s CL36 Desktop RAM (Black),Lexar,"৳ 25,500","৳ 30,500","৳ 5,000",In Stock
RAM,OSCOO Warrior E500 16GB DDR5 5200MHz CL36 Desktop RAM,OSCOO,"৳ 28,000","৳ 29,000","৳ 1,000",In Stock
RAM,OCPC PISTA 32GB RGB DDR5 CL40 4800MHz Desktop RAM with Heatsink,OCPC,"৳ 44,000","৳ 48,500","৳ 4,500",In Stock
RAM,Kingston FURY Beast 32GB RGB DDR5 5600MHz CL36 Desktop RAM,Kingston,"৳ 52,000","৳ 61,000","৳ 9,000",In Stock
RAM,Dahua C600 16GB DDR5 6000MHz Desktop RAM (White),Dahua,"৳ 29,500","৳ 30,500","৳ 1,000",In Stock
RAM,OCPC PISTA 32GB 6200MHZ RGB DDR5 CL40 Desktop RAM,OCPC,"৳ 50,000","৳ 65,000","৳ 15,000",In Stock
RAM,Alimoto AmD4H 8GB DDR4 3200MHz CL16 Desktop RAM,Alimoto,"৳ 6,000","৳ 6,900",৳ 900,In Stock
RAM,Alimoto 8GB DDR4 2666MHz DIMM Desktop Ram,Alimoto,"৳ 5,900","৳ 6,500",৳ 600,In Stock
RAM,OSCOO Warrior E500 8GB DDR5 5600MHz CL36 Desktop RAM,OSCOO,"৳ 16,900","৳ 17,500",৳ 600,In Stock
RAM,Apacer NOX RGB 32GB DDR5 6000MHz CL38 Gaming Desktop RAM With Heatsink,Apacer,"৳ 49,999","৳ 55,000","৳ 5,001",In Stock
RAM,LEXAR ARES RGB 16GB DDR5 6000MHZ CL30 Gaming Desktop RAM,LEXAR,"৳ 26,500","৳ 31,000","৳ 4,500",In Stock
RAM,Apacer NOX RGB 16GB DDR5 CL38 6000MHz Gaming Desktop RAM With Heatsink,Apacer,"৳ 28,500","৳ 31,000","৳ 2,500",In Stock
RAM,Kingston FURY Renegade CL32 6400MT/s 16GB DDR5 RGB Desktop RAM,Kingston,"৳ 30,300","৳ 32,000","৳ 1,700",In Stock
RAM,Patriot VIPER Elite 5 RGB 16GB DDR5 6000MHz CL30 Desktop RAM,Patriot,"৳ 29,500","৳ 31,000","৳ 1,500",In Stock
RAM,Patriot VIPER Elite 5 16GB DDR5 6000MHz CL30 Desktop RAM,Patriot,"৳ 29,000","৳ 30,000","৳ 1,000",In Stock
RAM,Patriot Viper Venom 16GB DDR5 6000MHz CL30 Desktop RAM,Patriot,"৳ 29,000","৳ 30,000","৳ 1,000",In Stock
RAM,AITC Kingsman INNOVATOR DDR4 16GB 3200MHz Gaming Desktop RAM,AITC,"৳ 14,500","৳ 15,500","৳ 1,000",In Stock
RAM,G.Skill Ripjaws S5 48GB DDR5 6000MHz CL 30 Desktop RAM,G.Skill,"৳ 85,000","৳ 89,000","৳ 4,000",In Stock
RAM,G.SKILL Flare X 8GB DDR4 Latency 14-14-14-34 3200Mhz Desktop RAM,G.SKILL,"৳ 8,300","৳ 8,500",৳ 200,In Stock
RAM,TEAM Delta RGB 16GB DDR5 6000MHz CL30 Gaming Desktop RAM,TEAM,"৳ 42,500","৳ 45,500","৳ 3,000",In Stock
RAM,Oscoo Warrior E500 32GB DDR5 5600MHz Desktop RAM With Heatsink,Oscoo,"৳ 52,000","৳ 53,000","৳ 1,000",In Stock
RAM,Twinmos TornadoX7 8GB DDR4 3200MHz CL22 Desktop RAM with Heatsink,Twinmos,"৳ 8,900","৳ 9,500",৳ 600,In Stock
RAM,Patriot Viper Elite 5 RGB 16GB DDR5 5600MHz Gaming Desktop RAM,Patriot,"৳ 27,999","৳ 30,000","৳ 2,001",In Stock
RAM,Patriot Viper Venom RGB 16GB DDR5 6000MHz CL30 Desktop RAM,Patriot,"৳ 27,000","৳ 31,000","৳ 4,000",In Stock
RAM,Kingston FURY Beast 16GB DDR5 6000MHz CL36 RGB Desktop RAM,Kingston,"৳ 29,000","৳ 34,000","৳ 5,000",In Stock
RAM,KingSpec DDR4 RGB Silver X 8GB 3200MHZ Desktop RAM,KingSpec,"৳ 7,200","৳ 8,500","৳ 1,300",In Stock
RAM,Kingston FURY Beast 16GB DDR5 5600MHz CL36 RGB Desktop RAM,Kingston,"৳ 28,500","৳ 31,000","৳ 2,500",In Stock
RAM,Netac Shadow 8GB DDR4 3200MHz Desktop RAM - Yellow,Netac,"৳ 9,000","৳ 9,500",৳ 500,In Stock
RAM,Netac Shadow 16GB DDR4 3200MHz Desktop RAM - Yellow,Netac,"৳ 14,500","৳ 15,500","৳ 1,000",In Stock
RAM,Netac Shadow RGB 16GB DDR4 3200MHz Desktop RAM,Netac,"৳ 15,200","৳ 16,200","৳ 1,000",In Stock
RAM,Netac Shadow Series RGB 16GB C16 DDR4 3600MHz Desktop RAM,Netac,"৳ 15,700","৳ 15,900",৳ 200,In Stock
RAM,TEAM Delta RGB 8GB DDR5 6000MHz Gaming Desktop RAM - White,TEAM,"৳ 16,500","৳ 17,500","৳ 1,000",In Stock
RAM,Adata XPG LANCER NEON RGB 16GB 6000MHz DDR5 Desktop RAM,Adata,"৳ 34,000","৳ 38,000","৳ 4,000",In Stock
RAM,Adata XPG LANCER BLADE 16GB DDR5 6000MHz Gaming Desktop RAM,Adata,"৳ 34,000","৳ 38,000","৳ 4,000",In Stock
RAM,Adata Lancer Blade RGB 16GB DDR5 6000 MHZ CL30 Desktop RAM,Adata,"৳ 34,000","৳ 38,000","৳ 4,000",In Stock
RAM,OSCOO Warrior E500 32GB DDR5 5200MHz CL36 Desktop RAM,OSCOO,"৳ 51,000","৳ 53,000","৳ 2,000",In Stock
RAM,OSCOO R500 RGB 16GB DDR5 6000MHz CL46 HeatSink Desktop RAM,OSCOO,"৳ 27,000","৳ 31,000","৳ 4,000",In Stock
RAM,OSCOO R500 RGB 16GB DDR5 5600MHz CL42 Desktop RAM,OSCOO,"৳ 27,000","৳ 27,500",৳ 500,In Stock
RAM,OSCOO M200 Warrior 16GB DDR4 3200MHz CL19 Heatsink Desktop RAM,OSCOO,"৳ 14,500","৳ 15,500","৳ 1,000",In Stock
RAM,OSCOO M200 Warrior 8GB DDR4 3200MHz Heatsink Desktop RAM,OSCOO,"৳ 8,000","৳ 8,300",৳ 300,In Stock
RAM,Neo Forza 8GB DDR4 3200MHz RGB CL16 Heatsink Desktop RAM,Neo,"৳ 7,200","৳ 8,200","৳ 1,000",In Stock
RAM,OCPC XT II 8GB DDR5 4800Mhz CL40 Desktop Ram,OCPC,"৳ 14,300","৳ 15,000",৳ 700,In Stock
RAM,Lexar ARES RGB 16GB 6400MHz CL32 DDR5 Desktop RAM (White),Lexar,"৳ 31,000","৳ 36,000","৳ 5,000",In Stock
RAM,G.Skill Trident Z5 RGB 16GB DDR5 6800MHz CL34 Desktop RAM,G.Skill,"৳ 31,500","৳ 33,000","৳ 1,500",In Stock
RAM,Corsair VENGEANCE 32GB DDR5 DRAM 6000MT/s CL40 Desktop RAM (Black),Corsair,"৳ 59,000","৳ 62,000","৳ 3,000",In Stock
RAM,Team T-Force Vulcan 8GB DDR5 5600MHz CL40 Gaming Desktop RAM with Heatsink,Team,"৳ 13,000","৳ 13,500",৳ 500,In Stock
RAM,Team T-Force Vulcan 8GB DDR5 6000MHz CL38 Heatsink Gaming Desktop RAM,Team,"৳ 13,500","৳ 14,500","৳ 1,000",In Stock
RAM,Oscoo Warrior E500 16GB DDR5 5600MHz CL36 Heatsink Desktop RAM,Oscoo,"৳ 26,200","৳ 27,500","৳ 1,300",In Stock
RAM,PNY Performance 16GB DDR4 3200MHz CL22 Desktop RAM,PNY,"৳ 10,000","৳ 14,500","৳ 4,500",In Stock
RAM,G Skill F5-5600J3636C16GX1-IS 16GB DDR5 5600Mhz CL36 Aegis 5 Intel XMP-AMD EXPO Desktop RAM,G,"৳ 28,000","৳ 29,000","৳ 1,000",In Stock
RAM,G Skill F5-5200J4040A16GX1-IS 16GB DDR5-5200Mhz CL40 Aegis 5 Intel XMP-AMD EXPO Desktop RAM,G,"৳ 28,000","৳ 29,000","৳ 1,000",In Stock
