Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
SSD,Team T-FORCE G70 PRO 2TB M.2 PCIe NVMe SSD with DRAM Cache & Aluminum Heatsink,Team,"৳ 52,900","৳ 53,500",৳ 600,In Stock
SSD,Team T-FORCE G70 PRO 2TB M.2 PCIe NVMe SSD with DRAM Cache,Team,"৳ 51,900","৳ 52,500",৳ 600,In Stock
SSD,Team G50 1TB M.2 PCIe Gen 4x4 NVMe SSD,Team,"৳ 22,300","৳ 23,500","৳ 1,200",In Stock
SSD,Team G50 512GB M.2 PCIe Gen 4x4 NVMe SSD,Team,"৳ 12,700","৳ 12,900",৳ 200,In Stock
SSD,TEAM T-FORCE VULCAN Z 1TB 2.5 Inch SATA III SSD,TEAM,"৳ 19,900","৳ 20,500",৳ 600,In Stock
SSD,OSCOO OS003 512GB 2.5 Inch SATA III SSD,OSCOO,"৳ 8,800","৳ 9,500",৳ 700,In Stock
SSD,OSCOO OS001 512 GB 2.5'' SATA III SSD,OSCOO,"৳ 8,800","৳ 9,500",৳ 700,In Stock
SSD,OSCOO OS001 256GB 2.5'' SATA III 6 Gbps SSD,OSCOO,"৳ 5,600","৳ 6,100",৳ 500,In Stock
SSD,Transcend 260S 2TB M.2 2280 NVMe PCIe Gen5x4 SSD with DRAM,Transcend,"৳ 63,500","৳ 65,500","৳ 2,000",In Stock
SSD,Transcend 260S 1TB M.2 2280 NVMe PCIe Gen5x4 SSD with DRAM,Transcend,"৳ 32,000","৳ 34,500","৳ 2,500",In Stock
SSD,"KINGBANK KP320 2.5"" 512 GB SATA Ⅲ SSD",KINGBANK,"৳ 7,300","৳ 10,500","৳ 3,200",In Stock
SSD,XOC Slayer X5 1TB NVMe PCIe Gen 5.0 M.2 NVMe SSD,XOC,"৳ 37,000","৳ 38,000","৳ 1,000",In Stock
SSD,Adata SC735 1000GB USB 3.2 External SSD,Adata,"৳ 23,000","৳ 24,000","৳ 1,000",In Stock
SSD,Adata XPG GAMMIX S70 BLADE 512GB PCIe Gen4x4 M.2 2280 SSD,Adata,"৳ 14,500","৳ 16,500","৳ 2,000",In Stock
SSD,Sandisk WD Blue SN5100 1TB M.2 2280 NVMe PCIe Gen 4.0 SSD,Sandisk,"৳ 18,500","৳ 19,500","৳ 1,000",In Stock
SSD,Neo Forza NFP4Q5PCI20-44H5200 2TB M.2 2280 NVMe PCIe Gen4x4 SSD,Neo,"৳ 32,000","৳ 39,000","৳ 7,000",In Stock
SSD,Acer Predator GM7000 2TB M.2 2280 NVMe PCIe4.0 SSD With DRAM,Acer,"৳ 31,000","৳ 41,500","৳ 10,500",In Stock
SSD,OSCOO OS003 256GB 2.5 Inch SATA III SSD,OSCOO,"৳ 5,800","৳ 6,800","৳ 1,000",In Stock
SSD,OSCOO OS002 256GB 2.5 Inch SATA III SSD,OSCOO,"৳ 5,700","৳ 6,500",৳ 800,In Stock
SSD,KINGBANK KP230 M.2 PCIe Gen 3.0*4 512GB SSD,KINGBANK,"৳ 8,900","৳ 12,500","৳ 3,600",In Stock
SSD,"KINGBANK KP320 2.5"" SATA Ⅲ SSD - 256GB",KINGBANK,"৳ 4,900","৳ 5,900","৳ 1,000",In Stock
SSD,KINGBANK KP230 M.2 PCIe Gen 3.0*4 256GB SSD,KINGBANK,"৳ 5,500","৳ 7,500","৳ 2,000",In Stock
SSD,KingSpec PCIe 3.0 NX Series 512GB Gen3x4 SSD,KingSpec,"৳ 10,900","৳ 11,500",৳ 600,In Stock
SSD,OSCOO OS002 128GB Black 2.5-inch SATA III SSD,OSCOO,"৳ 3,800","৳ 4,000",৳ 200,In Stock
SSD,Seagate Barracuda 240GB Internal SATA SSD,Seagate,"৳ 6,200","৳ 7,000",৳ 800,In Stock
SSD,NEO FORZA NFP4Q5PCI10-44H5200 1TB M.2 2280 NVMe PCIe GEN4X4 SSD,NEO,"৳ 16,500","৳ 19,500","৳ 3,000",In Stock
SSD,Orico O7000-512GB 4.0 PCIe M.2 NVMe SSD,Orico,"৳ 9,900","৳ 12,500","৳ 2,600",In Stock
SSD,TwinMOS CoreX 1TB Pro PCIe Gen5 NVMe M.2 SSD,TwinMOS,"৳ 27,900","৳ 28,500",৳ 600,In Stock
SSD,NCX Raptor 5 1TB PCIe 5.0 x4 NVMe SSD With DRAM and SLC Cache,NCX,"৳ 35,000","৳ 36,000","৳ 1,000",In Stock
SSD,NCX Dash 4 1TB PCIe Gen 4.0 NVMe SSD,NCX,"৳ 17,500","৳ 19,500","৳ 2,000",In Stock
SSD,NCX Dash 4 512GB PCIe Gen 4.0 NVMe SSD,NCX,"৳ 10,900","৳ 13,000","৳ 2,100",In Stock
SSD,NCX Dash 3 512GB PCIe Gen 3.0 NVMe SSD with HMB Cache,NCX,"৳ 10,200","৳ 11,000",৳ 800,In Stock
SSD,NCX Dash 3 256GB PCIe Gen 3.0 NVMe SSD with HMB Cache,NCX,"৳ 6,500","৳ 7,800","৳ 1,300",In Stock
SSD,Aitc Kingsman S1000 4 TB PCIe Gen5 NVME SSD With DRAM,Aitc,"৳ 78,000","৳ 79,000","৳ 1,000",In Stock
SSD,Aitc Kingsman S1000 2TB PCIe Gen5 NVME SSD With DRAM,Aitc,"৳ 55,000","৳ 56,000","৳ 1,000",In Stock
SSD,Aitc S1000 PCIe Gen5x4 NVMe 2.0 1TB M.2 2280 SSD,Aitc,"৳ 27,000","৳ 36,000","৳ 9,000",In Stock
SSD,KingSpec NX-512 2230 PCIe 3.0 NX Series 512GB Gen 3 SSD,KingSpec,"৳ 10,700","৳ 11,900","৳ 1,200",In Stock
SSD,KingSpec NX-256 2230 PCIe 3.0 NX Series 256GB Gen 3 SSD,KingSpec,"৳ 8,500","৳ 9,500","৳ 1,000",In Stock
SSD,KingSpec NX-1000 2230 PCIe 3.0 NX Series 1TB Gen3x4 SSD,KingSpec,"৳ 19,500","৳ 20,500","৳ 1,000",In Stock
SSD,PNY CS2241 500GB M.2 2280 NVMe Gen 4x4 SSD,PNY,"৳ 10,900","৳ 14,500","৳ 3,600",In Stock
SSD,KingBox KSX3200 256GB NVME M.2 PCIe 3.0X4 SSD,KingBox,"৳ 5,900","৳ 8,000","৳ 2,100",In Stock
SSD,Neo Forza NFP085 256GB M.2 2280 NVMe PCIe Gen3x4 SSD,Neo,"৳ 6,000","৳ 8,000","৳ 2,000",In Stock
SSD,Apacer PE4430-R 1TB M.2 2230 NVMe PCIe Gen4 x4 SSD,Apacer,"৳ 25,500","৳ 29,500","৳ 4,000",In Stock
SSD,Apacer AS2280F4 1TB NVMe PCIe Gen5 x4 heatsink Internal SSD,Apacer,"৳ 33,000","৳ 35,000","৳ 2,000",In Stock
SSD,Apacer AS2280Q4U 1TB M.2 2280 NVMe PCIe Gen4 x4 SSD,Apacer,"৳ 19,500","৳ 23,500","৳ 4,000",In Stock
