Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Processor,Intel Core i5 10500T 10th Gen Comet Lake Processor,Intel,12500.0,12900.0,400.0,In Stock
Processor,AMD Ryzen 7 9850X3D 8 Core 16 Thread Desktop Processor,AMD,65000.0,69000.0,4000.0,In Stock
Processor,Intel Core Ultra 5 225 10 Core 10 Threads Arrow Lake Processor,Intel,19999.0,24500.0,4501.0,In Stock
Processor,AMD Ryzen 9 9900X3D 12 Core 24 Thread AM5 Gaming Processor,AMD,66500.0,82000.0,15500.0,In Stock
Processor,AMD Ryzen 9 9950X3D 16 Core 32 Thread AM5 Gaming Processor,AMD,74999.0,79000.0,4001.0,In Stock
Processor,AMD Ryzen 5 7400F 3.7GHz 6 Core AM5 Socket Processor,AMD,14799.0,18500.0,3701.0,In Stock
Processor,AMD Ryzen 5 8400F Cores 6 Threads 12 Processor,AMD,13600.0,15500.0,1900.0,In Stock
Processor,Intel Core i3 14100 14th Gen Raptor Lake Processor,Intel,15900.0,18500.0,2600.0,In Stock
Processor,AMD Ryzen 7 9800X3D 8 Cores 16 Threads Gaming Processor,AMD,52000.0,57500.0,5500.0,In Stock
Processor,AMD Ryzen 5 7600X3D 6 Cores 12 Threads AM5 Desktop Processor,AMD,32900.0,37000.0,4100.0,In Stock
Processor,Intel Core Ultra 9-285K Arrow Lake Processor,Intel,71500.0,83500.0,12000.0,In Stock
Processor,Intel Core Ultra 7-265K Cores 20 Threads 20 Desktop Processor,Intel,34900.0,57300.0,22400.0,In Stock
Processor,Intel Core Ultra 5-245K 14 Cores 14 Threads Desktop Processor,Intel,24300.0,45000.0,20700.0,In Stock
Processor,Intel Core Ultra 5-245KF Core 14 Threads 14 Desktop Processor,Intel,38000.0,42300.0,4300.0,In Stock
Processor,AMD Ryzen 5 9600X 6 Core 12 Thread AM5 Desktop Gaming Processor,AMD,22900.0,24500.0,1600.0,In Stock
Processor,AMD Ryzen 7 9700X 8 Core 16 Thread AM5 Desktop Gaming Processor,AMD,29800.0,33500.0,3700.0,In Stock
Processor,AMD Ryzen 9 9900X 12 Core 24 Thread AM5 Desktop Gaming Processor,AMD,43300.0,46000.0,2700.0,In Stock
Processor,AMD Ryzen 9 9950X 16 Core 32 Thread AM5 Desktop Gaming Processor,AMD,54700.0,60500.0,5800.0,In Stock
Processor,Intel Core i5 14400F 14th Gen Raptor Lake Processor,Intel,19400.0,29500.0,10100.0,In Stock
Processor,AMD Ryzen 7 8700G 8 Core 16 Thread AM5 Processor With Radeon Graphics,AMD,29500.0,36500.0,7000.0,In Stock
Processor,AMD Ryzen 5 5500GT 6 Core 12 Thread AM4 Processor With Radeon Graphics,AMD,14600.0,15500.0,900.0,In Stock
Processor,AMD Ryzen 5 5600GT 6 Core 12 Thread AM4 Processor With Radeon Graphics,AMD,15500.0,17500.0,2000.0,In Stock
Processor,AMD Ryzen 5 8500G 6 Core 12 Thread AM5 Processor With Radeon Graphics,AMD,18500.0,23000.0,4500.0,In Stock
Processor,AMD Ryzen 5 8600G 6 Core 12 Thread AM5 Processor With Radeon Graphics,AMD,22500.0,29000.0,6500.0,In Stock
Processor,Intel Core i7 14700 14th Gen Raptor Lake Processor,Intel,49500.0,50000.0,500.0,In Stock
Processor,Intel Core i5 14500 14th Gen Raptor Lake Processor,Intel,28300.0,31800.0,3500.0,In Stock
Processor,Intel Core i3 14100F 14th Gen Raptor Lake Processor,Intel,13950.0,19500.0,5550.0,In Stock
Processor,Intel Core i5 14400 14th Gen Raptor Lake Processor,Intel,27500.0,32000.0,4500.0,In Stock
Processor,AMD RYZEN 5 7500F 5.0GHZ 6 CORE AM5 Socket PROCESSOR,AMD,14900.0,18500.0,3600.0,In Stock
Processor,INTEL CORE I7-14700KF 20 CORE 28 THREAD 14TH GEN PROCESSOR,INTEL,38800.0,43500.0,4700.0,In Stock
Processor,INTEL CORE I9-14900KF 24 CORES 32 THREADS 14TH GEN PROCESSOR,INTEL,49900.0,70000.0,20100.0,In Stock
Processor,INTEL CORE I9-14900K 24 CORES 32 THREADS 14TH GEN PROCESSOR,INTEL,62000.0,65000.0,3000.0,In Stock
Processor,INTEL CORE I7 14700K 20 CORE 28 THREAD 14TH GEN PROCESSOR,INTEL,48900.0,55500.0,6600.0,In Stock
Processor,INTEL CORE I5-14600K 14 CORES 20 THREADS 14TH GEN PROCESSOR,INTEL,27500.0,33500.0,6000.0,In Stock
Processor,AMD RYZEN 5 7600 3.8GHZ-5.1GHZ 6 CORE 38MB CACHE GAMING AM5 Socket PROCESSOR,AMD,18200.0,25500.0,7300.0,In Stock
Processor,AMD Ryzen 7 7700 8-Core AM5 Processor,AMD,22600.0,26500.0,3900.0,In Stock
Processor,AMD RYZEN 7 7800X3D Cores 8 Threads 16 AM5 GAMING PROCESSOR,AMD,37999.0,42000.0,4001.0,In Stock
Processor,AMD RYZEN 9 7900X3D Cores 12 Threads 24 GAMING AM5 Socket PROCESSOR,AMD,46500.0,52000.0,5500.0,In Stock
Processor,AMD RYZEN 9 7950X3D Cores 16 Threads 32 GAMING AM5 Socket PROCESSOR,AMD,59000.0,75500.0,16500.0,In Stock
Processor,INTEL CORE I3-13100 4.50 GHZ CORES 4 LGA 1700 13TH GEN PROCESSOR,INTEL,14500.0,16900.0,2400.0,In Stock
Processor,INTEL CORE I7-13700 16 CORE 24 THREAD 13TH GEN PROCESSOR,INTEL,45000.0,49000.0,4000.0,In Stock
Processor,Intel Core I5 13500 14 Core 20 Threads 13th Gen LGA 1700 Processor,Intel,28000.0,28800.0,800.0,In Stock
Processor,INTEL CORE I5 13400 13TH GEN RAPTOR LAKE PROCESSOR,INTEL,28000.0,29000.0,1000.0,In Stock
Processor,INTEL CORE I5-13400F 4.60 GHZ 13TH GEN 10 CORES LGA1700 PROCESSOR,INTEL,19500.0,23500.0,4000.0,In Stock
Processor,INTEL CORE I9-13900K 3 GHZ 24-CORE LGA 1700 13TH PROCESSOR,INTEL,47000.0,65500.0,18500.0,In Stock
Processor,INTEL CORE I7-13700K 3.4 GHZ 16-CORE LGA 1700 13 TH GEN PROCESSOR,INTEL,42500.0,48900.0,6400.0,In Stock
Processor,INTEL CORE I5-13600K 3.5 GHZ 14-CORE LGA 1700 13TH GEN PROCESSOR,INTEL,26500.0,31500.0,5000.0,In Stock
Processor,AMD Ryzen 5 7600X 4.7 GHz 6 Core AM5 Processor,AMD,19500.0,42500.0,23000.0,In Stock
Processor,AMd Ryzen 7 7700x 4.5 GHz 8 Core AM5 Processor,AMd,27300.0,29500.0,2200.0,In Stock
Processor,AMD RYZEN 9 7900X 4.7 GHZ 12-CORE AM5 PROCESSOR,AMD,40300.0,44000.0,3700.0,In Stock
Processor,AMD RYZEN 9 7950X 4.5 GHZ 16-CORE AM5 PROCESSOR,AMD,45500.0,54000.0,8500.0,In Stock
Processor,AMD Ryzen 5 5600 3.5 GHz 6-Core 12-Thread AM4 Processor,AMD,13300.0,14500.0,1200.0,In Stock
Processor,AMD RYZEN 7 5700X 8 CORE 16 THREAD AM4 PROCESSOR,AMD,17500.0,21500.0,4000.0,In Stock
Processor,INTEL CORE I5 12400F 6 CORE 12 THREAD 12TH GEN PROCESSOR,INTEL,14900.0,17500.0,2600.0,In Stock
Processor,AMD Ryzen 5 5500 6 Core 12 Thread AM4 Processor,AMD,10200.0,11500.0,1300.0,In Stock
Processor,Intel Core i7-12700 12th Gen Alder Lake Processor,Intel,32600.0,36500.0,3900.0,In Stock
